"County","Facility ID","Facility Name","Utility","Type","FlowMGD","Grouping"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Permitted Capacity",0.58,"Facility Information"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Total WW Flow",0.46,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Total Reuse",0.46,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Industrial",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Recharge/ RIBS",0.46,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Surface Water",NA,"2020 Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","Deep Well Injection",NA,"2020 Disposal"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks","IPR",NA,"2020 Beneficial Reuse by Category"
