"County","Facility Name","Grouping","Entry","Value"
"Polk","Lakeland Glendale","Total Service Area Population","2020",85171
"Polk","Lakeland Glendale","Total Service Area Population","2045",105476
"Polk","Lakeland Glendale","Septic Population","2020",6809
"Polk","Lakeland Glendale","Septic Population","2045",8280
"Polk","Lakeland Glendale","Adjusted Service Area Population","2020",78362
"Polk","Lakeland Glendale","Adjusted Service Area Population","2045",97196
"Polk","Lakeland Glendale","Adjusted Service Area Population","2020-2045 Population Increase",18834
"Polk","Lakeland Glendale","2020 Totals","Total WW Flows (MGD)",7.62
"Polk","Lakeland Glendale","2020 Totals","Total Reuse (MGD)",8.16
"Polk","Lakeland Glendale","2020 Totals","Supplemental Flows (MGD)",NA
"Polk","Lakeland Glendale","2020 Totals","WW Disposal (MGD)",4.81
"Polk","Lakeland Glendale","2045 Projected Additional","WW Flow Projection (MGD)",1.31
"Polk","Lakeland Glendale","2045 Projected Additional","Supplemental Flows (MGD)",0.74
"Polk","Lakeland Glendale","2045 Projected Totals","Total WW Flows (MGD)",8.93
"Polk","Lakeland Glendale","2045 Projected Totals","Supplemental Flows (MGD)",0.74
"Polk","Lakeland Glendale","2045 Projected Totals","Total Reuse (MGD)",10.2
"Polk","Lakeland Glendale","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",7.65
"Polk","Mulberry","Total Service Area Population","2020",4288
"Polk","Mulberry","Total Service Area Population","2045",5796
"Polk","Mulberry","Septic Population","2020",212
"Polk","Mulberry","Septic Population","2045",224
"Polk","Mulberry","Adjusted Service Area Population","2020",4076
"Polk","Mulberry","Adjusted Service Area Population","2045",5572
"Polk","Mulberry","Adjusted Service Area Population","2020-2045 Population Increase",1497
"Polk","Mulberry","2020 Totals","Total WW Flows (MGD)",0.3
"Polk","Mulberry","2020 Totals","Total Reuse (MGD)",0.28
"Polk","Mulberry","2020 Totals","Supplemental Flows (MGD)",NA
"Polk","Mulberry","2020 Totals","WW Disposal (MGD)",NA
"Polk","Mulberry","2045 Projected Additional","WW Flow Projection (MGD)",0.1
"Polk","Mulberry","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Polk","Mulberry","2045 Projected Totals","Total WW Flows (MGD)",0.4
"Polk","Mulberry","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Polk","Mulberry","2045 Projected Totals","Total Reuse (MGD)",0.38
"Polk","Mulberry","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.29
"Polk","Polk County - Northwest Regional","Total Service Area Population","2020",41263
"Polk","Polk County - Northwest Regional","Total Service Area Population","2045",61914
"Polk","Polk County - Northwest Regional","Septic Population","2020",34223
"Polk","Polk County - Northwest Regional","Septic Population","2045",41401
"Polk","Polk County - Northwest Regional","Adjusted Service Area Population","2020",7040
"Polk","Polk County - Northwest Regional","Adjusted Service Area Population","2045",20513
"Polk","Polk County - Northwest Regional","Adjusted Service Area Population","2020-2045 Population Increase",13473
"Polk","Polk County - Northwest Regional","2020 Totals","Total WW Flows (MGD)",1.09
"Polk","Polk County - Northwest Regional","2020 Totals","Total Reuse (MGD)",0.56
"Polk","Polk County - Northwest Regional","2020 Totals","Supplemental Flows (MGD)",NA
"Polk","Polk County - Northwest Regional","2020 Totals","WW Disposal (MGD)",NA
"Polk","Polk County - Northwest Regional","2045 Projected Additional","WW Flow Projection (MGD)",0.93
"Polk","Polk County - Northwest Regional","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Polk","Polk County - Northwest Regional","2045 Projected Totals","Total WW Flows (MGD)",2.03
"Polk","Polk County - Northwest Regional","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Polk","Polk County - Northwest Regional","2045 Projected Totals","Total Reuse (MGD)",1.5
"Polk","Polk County - Northwest Regional","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",1.12
"Polk","Polk County - Southwest Regional","Total Service Area Population","2020",51598
"Polk","Polk County - Southwest Regional","Total Service Area Population","2045",70132
"Polk","Polk County - Southwest Regional","Septic Population","2020",38932
"Polk","Polk County - Southwest Regional","Septic Population","2045",41440
"Polk","Polk County - Southwest Regional","Adjusted Service Area Population","2020",12666
"Polk","Polk County - Southwest Regional","Adjusted Service Area Population","2045",28691
"Polk","Polk County - Southwest Regional","Adjusted Service Area Population","2020-2045 Population Increase",16025
"Polk","Polk County - Southwest Regional","2020 Totals","Total WW Flows (MGD)",2.14
"Polk","Polk County - Southwest Regional","2020 Totals","Total Reuse (MGD)",1.96
"Polk","Polk County - Southwest Regional","2020 Totals","Supplemental Flows (MGD)",0.26
"Polk","Polk County - Southwest Regional","2020 Totals","WW Disposal (MGD)",NA
"Polk","Polk County - Southwest Regional","2045 Projected Additional","WW Flow Projection (MGD)",1.11
"Polk","Polk County - Southwest Regional","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Polk","Polk County - Southwest Regional","2045 Projected Totals","Total WW Flows (MGD)",3.25
"Polk","Polk County - Southwest Regional","2045 Projected Totals","Supplemental Flows (MGD)",0.26
"Polk","Polk County - Southwest Regional","2045 Projected Totals","Total Reuse (MGD)",3.07
"Polk","Polk County - Southwest Regional","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",2.3
"Hillsborough","Hillsborough County - Northwest","Total Service Area Population","2020",697693
"Hillsborough","Hillsborough County - Northwest","Total Service Area Population","2045",858996
"Hillsborough","Hillsborough County - Northwest","Septic Population","2020",17614
"Hillsborough","Hillsborough County - Northwest","Septic Population","2045",23013
"Hillsborough","Hillsborough County - Northwest","Adjusted Service Area Population","2020",680079
"Hillsborough","Hillsborough County - Northwest","Adjusted Service Area Population","2045",835984
"Hillsborough","Hillsborough County - Northwest","Adjusted Service Area Population","2020-2045 Population Increase",155905
"Hillsborough","Hillsborough County - Northwest","2020 Totals","Total WW Flows (MGD)",16.89
"Hillsborough","Hillsborough County - Northwest","2020 Totals","Total Reuse (MGD)",11.2
"Hillsborough","Hillsborough County - Northwest","2020 Totals","Supplemental Flows (MGD)",NA
"Hillsborough","Hillsborough County - Northwest","2020 Totals","WW Disposal (MGD)",NA
"Hillsborough","Hillsborough County - Northwest","2045 Projected Additional","WW Flow Projection (MGD)",10.81
"Hillsborough","Hillsborough County - Northwest","2045 Projected Additional","Supplemental Flows (MGD)",NA
