"temp_col_1","Facility ID","Facility Name","Utility","Permitted Capacity","Total WW Flow","Total Reuse","Supplemental Flow","Transfers In","Transfers Out","WW Disposal","Res Irrig/ Landscape","Golf Courses","Ag Irrig","Industrial","Wetlands","Other Reuse","Sprayfields","Recharge/ RIBS","ATP/Other","Surface Water","Deep Well Injection"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks",0.58,0.46,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County",0.5,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County",2,0.7,0.68,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,0.3,NA,NA,NA
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County",0.04,0.02,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County",1.5,0.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA
"Citrus","FLA011848","Crystal River","Crystal River, City of",1.5,0.66,0.3,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.36,NA,NA,NA,NA
"Citrus","FLA011847","Inverness","Inverness, City of",1.5,0.53,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.33,NA,NA,NA,NA
"Hernando","FLA012036","Brooksville","Brooksville, City of",8,1.01,1.01,NA,NA,NA,NA,0.13,0.12,NA,0.76,NA,NA,NA,NA,NA,NA,NA
"Hernando","FLA017223","Hernando County - Airport","Hernando County",3.5,1.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County",0.75,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA
"Hernando","FLA012069","Hernando County - Glenn","Hernando County",3,1.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County",0.75,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA
"Hernando","FLA012043","Hernando County - Spring Hill","Hernando County",2.5,1.41,1.32,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,0.09,NA,NA,NA
"Levy","FLA012612","Williston","Williston, City of",0.45,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA
"Marion","FLA126594","FGUA - Dunnellon","Dunellon, City of",0.49,0.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA
"Marion","FLA272060","Marion County - NW Regional","Marion County",0.2,0.08,0.08,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion","FLA012697","Marion County - Oak Run","Marion County",1.6,0.92,0.55,NA,NA,NA,NA,NA,0.49,NA,0.06,NA,NA,NA,0.38,NA,NA,NA
"Marion","FLA190268","Ocala #3","Ocala, City of",4.43,2.29,2.29,NA,NA,0.21,NA,0.68,0.25,NA,NA,1.36,NA,NA,NA,NA,NA,NA
